id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedroom,bed,bath,is_studio,type
859413195878147825,46414113,Carina,,Palermo,-34.574990485329494,-58.439540260850414,Entire home/apt,8687,1,1,2023-06-20,1.0,1,141,1,,New,1,2,1.5,False,Condo 
859430187274403933,461203988,Susana,,Palermo,-34.5887845,-58.4138297,Entire home/apt,14053,1,2,2023-04-27,0.81,23,353,2,,,1,1,1,False,Rental unit 
859430652423660713,485465690,Gaston Lopez,,Villa Ortuzar,-34.581371639016915,-58.47330904219515,Entire home/apt,8152,2,1,2023-04-09,0.37,3,180,1,,,1,1,1,False,Rental unit 
859433709014538199,76176860,Diego,,Palermo,-34.58004087269084,-58.42706436093622,Entire home/apt,9454,20,1,2023-06-13,1.0,1,113,1,,,1,1,2,False,Rental unit 
859434480554312314,6183981,Flavia,,Nuñez,-34.53829102273266,-58.46838192065294,Entire home/apt,7133,3,3,2023-04-27,1.08,1,267,3,,5.0,1,1,1,False,Rental unit 
859439159054604841,492235842,Monica,,Parque Chas,-34.58204823916292,-58.47420423987677,Entire home/apt,10336,3,0,,,7,180,0,,,3,4,3.5,False,Home 
859451875455546819,501358052,NoMa,,San Nicolas,-34.60621,-58.39166,Entire home/apt,11029,3,1,2023-04-09,0.37,32,336,1,,,1,2,1,True,Rental unit 
859455177966704315,461203988,Susana,,Palermo,-34.5887845,-58.4138297,Entire home/apt,14147,1,1,2023-05-02,0.51,23,287,1,,,1,1,1,False,Rental unit 
859471790709378218,461203988,Susana,,Palermo,-34.5887845,-58.4138297,Entire home/apt,15841,1,4,2023-05-29,1.6,23,326,4,,4.50,1,1,1,False,Rental unit 
859473549827847080,10535414,Ivanna,,Colegiales,-34.57664268641601,-58.44978515178779,Entire home/apt,6624,3,1,2023-06-16,1.0,4,343,1,,,1,1,1,False,Rental unit 
859487429536141521,240814339,Estefania,,Recoleta,-34.5947627,-58.3901869,Entire home/apt,10155,3,7,2023-06-26,2.69,1,288,7,,5.0,1,2,1,False,Rental unit 
859492325258618483,1021694,Fliphaus,,Constitucion,-34.62227,-58.37939,Entire home/apt,31463,1,12,2023-06-08,4.44,188,355,12,,4.83,3,7,2.5,False,Rental unit 
859509645405869727,387274021,Ana,,San Nicolas,-34.60264007741968,-58.381415526313496,Entire home/apt,9709,3,7,2023-06-19,2.59,8,242,7,,5.0,1,3,1,False,Rental unit 
859517241539702178,108532059,Agustina,,Belgrano,-34.558345085274816,-58.45849143790139,Entire home/apt,6369,30,1,2023-06-24,1.0,1,167,1,,,1,1,1,False,Rental unit 
859520976610909143,387274021,Ana,,San Nicolas,-34.603946095155706,-58.38300994103446,Entire home/apt,10220,3,7,2023-06-21,2.73,8,247,7,,4.71,1,3,1,False,Rental unit 
859539640943928667,65072143,Federico,,Palermo,-34.58550759551731,-58.43830215332871,Entire home/apt,10440,2,9,2023-06-25,5.09,1,205,9,,5.0,1,1,1,False,Rental unit 
859560615055656465,507974815,Laura,,San Nicolas,-34.60477436261706,-58.38334802279656,Entire home/apt,16352,3,0,,,1,301,0,,New,1,1,1,False,Rental unit 
859565069375880859,8157090,Adrian,,Palermo,-34.578902159374465,-58.41307776460378,Entire home/apt,10481,3,3,2023-06-26,1.27,15,266,3,,4.33,1,1,1,False,Rental unit 
